Name,Series,Year,Used Sales Data,Used Minifig-only Sales Data,New Sales Data,Leg Sales,Torso Sales,Head Sales,Hair/Hat Sales,MassComplete,MassMinifig,Gendered,Human,HeadOnly,BodySuit,LivingAddOn,HandsFull,NumberofAccessories,Number of Parts
Gingerbread Man,11,2013,10.85,9.27,17.04,2.5,2.82,2.46,2.46,10.07,3.36,0,0,1,0,0,0,1,3
Holiday Elf,11,2013,5.76,3.92,9.86,1.08,1.24,1.2,0.23,12.28,3.23,0,0,0,0,0,0,3,4
Yeti,11,2013,6.21,6.21,9.86,0.67,1.47,1.08,1.08,10.87,4.12,0,0,1,0,0,0,1,3
Mountain Climber,11,2013,2.88,2.43,4.73,0.44,0.5,0.5,0.26,10.31,3.3,0,1,0,0,0,1,2,4
Welder,11,2013,5.83,3.4,9.16,0.38,0.37,0.29,0.33,10.54,3.61,0,1,0,0,0,0,2,4
Scientist,11,2013,7.95,2.89,14.05,0.31,0.38,1.25,0.35,10.78,3.58,1,1,0,0,0,1,2,4
Saxaphone Player,11,2013,12.76,9.02,17.2,0.37,0.85,1.36,0.29,10.38,3.64,0,1,0,0,0,0,1,4
Diner Waitress,11,2013,9.25,6.06,12.11,0.97,0.88,2.68,1.39,11.21,3.87,1,1,0,0,0,0,3,6
Grandma,11,2013,15.64,9.85,19.81,0.65,0.79,0.44,6.27,12.02,3.79,1,1,0,0,1,0,2,4
Constable,11,2013,4.56,4.73,8.2,0.37,0.45,0.79,0.47,10.15,3.57,0,1,0,0,0,0,1,4
Lady Robot,11,2013,5.29,5.41,7.37,0.62,1.86,0.77,0.77,9.59,3.39,1,0,1,0,0,0,0,5
Wizard,12,2014,5.11,4.75,9.04,0.74,0.46,0.71,1.11,11.8,4.9,0,1,0,0,0,0,3,7
Hun Warrior,12,2014,5.39,4.81,8.36,1,1.09,0.6,4.6,11.3,4.2,0,1,0,0,0,1,2,7
FairyTale Princess,12,2014,4.63,3.63,5.92,0.91,2.03,0.37,1.01,11.9,5.19,1,1,0,0,1,0,1,4
Video Game Guy,12,2014,4.16,4.01,5.82,0.91,0.97,0.61,1.1,10,3.5,0,1,0,0,0,0,1,4
Battle Godess,12,2014,4.88,3.02,7.08,0.77,1.08,0.76,1.56,12,4.58,1,0,0,0,0,1,2,6
Space Miner,12,2014,2.38,2.45,4.17,0.42,0.7,0.48,0.38,12.8,5.85,0,1,0,0,0,0,2,6
LifeGuard,12,2014,4.56,4.55,6.46,0.7,0.97,0.71,2.83,10.7,3.53,0,1,0,0,0,1,2,4
Prospector,12,2014,3.52,2.95,4.76,0.8,0.38,0.32,0.77,10.8,4.1,0,1,0,0,0,0,1,5
Jester,12,2014,5.33,5.17,8.21,0.68,0.69,1.4,1.49,10.5,3.88,0,1,0,0,0,1,2,4
Dino Tracker,12,2014,2.7,2.72,4.25,1.8,0.36,0.66,0.58,10.6,3.82,1,1,0,0,0,1,2,4
Pizza Delivery Guy,12,2014,4.52,2.97,4.46,0.38,0.5,0.65,0.78,10.6,3.39,0,1,0,0,0,1,2,4
Rock Star,12,2014,3.71,2.31,5.36,0.27,1.03,0.8,0.89,11.1,4.2,0,1,0,0,0,0,1,4
Swashbuckler,12,2014,2.35,2.07,4.14,0.37,0.51,0.25,1.03,10.7,3.92,0,1,0,0,0,0,1,5
Piggy Guy,12,2014,9.73,10.59,16.2,4.29,1.26,1.87,5.69,11,3.97,0,1,0,0,1,0,1,4
Genie Girl,12,2014,4.34,3.51,5.68,0.67,1.13,0.82,1.98,10.5,3.88,1,0,0,0,0,0,1,4
Spooky Girl,12,2014,8.08,7.9,12.02,1.1,1.05,1.73,3.24,11.2,3.9,1,1,0,0,0,0,1,5
Classic King,13,2015,5.25,5.6,8.17,0.74,1,0.5,1.08,11,4.35,0,1,0,0,0,0,1,7
Sheriff,13,2015,2.97,3.93,4.52,0.88,0.78,0.74,1.06,11,3.64,0,1,0,0,0,1,2,5
Unicorn Girl,13,2015,9.32,10.99,12.75,1.27,1.4,1.92,2.72,11.15,5.06,1,1,0,0,0,0,0,6
Snake Charmer,13,2015,3.07,2.98,4.49,0.34,0.44,0.62,1.4,11,4.16,0,1,0,0,1,0,2,4
Goblin,13,2015,3.01,3.36,4.52,0.57,0.78,0.75,0.71,12,3.7,0,0,0,0,0,1,2,4
Paleontologist,13,2015,3.42,3.56,4.98,0.74,0.71,0.77,0.91,10,4.37,1,1,0,0,0,1,2,4
Alien Trooper,13,2015,2.61,2.35,4.07,0.58,0.71,0.99,0.99,8,3.72,0,0,1,0,0,0,2,3
Egyptian Warrior,13,2015,4.4,5.9,6.48,0.99,0.86,0.85,1.44,10,3.55,0,1,0,0,0,1,2,4
Carpenter,13,2015,2.99,2.6,4.62,0.76,0.85,0.67,0.64,11,3.41,0,1,0,0,0,1,2,4
Evil Wizard,13,2015,3.18,3.89,5.2,0.43,1.09,0.7,0,12,4.27,0,1,0,0,0,0,3,6
Fencer,13,2015,4.96,4.37,7.89,1.08,1.12,1.31,1.15,8,3.67,0,1,0,0,0,0,1,4
Samurai,13,2015,3.53,3.68,5.19,0.77,1,0.94,0.47,11,4.11,0,1,0,0,0,0,2,5
Disco Diva,13,2015,3.98,3.9,5.95,0.74,0.95,0.76,1.25,11,4.46,1,1,0,0,0,0,1,6
Hot Dog Man,13,2015,9.32,10.01,12.05,0.48,1.98,3.24,1.83,13.33,7.15,0,1,0,1,0,0,0,4
Lady Cyclops,13,2015,2.95,3.55,4.63,0.27,1.32,0.44,0.32,11.5,3.69,1,0,0,0,0,0,1,4
Galaxy Trooper,13,2015,3.28,3.57,4.66,0.66,1.67,0.46,0.58,12,5.11,0,1,0,0,0,0,2,5
Wolf guy,14,2015,4.56,4.75,6.96,0.35,0.55,1.09,1.09,11.53,4.9,0,0,1,0,0,0,1,4
Zombie Pirate,14,2015,2.88,2.71,4.3,0.36,0.64,0.63,0.58,10.34,3.62,0,0,0,0,0,0,1,5
Monster scientist,14,2015,2.61,2.13,449,0.82,0.65,0.49,0.47,12.25,4.01,0,1,0,0,0,0,1,4
Wacky Witch,14,2015,4.36,3.13,6.69,0.45,0.85,0.55,0.64,13.54,4.96,1,1,0,0,1,0,2,5
Plant Monster,14,2015,3.67,3.28,5.19,0.47,0.65,0.5,0.88,12.54,5.6,0,1,0,0,0,1,2,4
Fly Monster,14,2015,3.52,3.18,4.91,0.32,0.88,0.88,0.88,11.87,5.59,0,0,1,0,0,0,0,4
Specter,14,2015,3.9,3.58,5.8,0.84,2.79,0.82,0.49,11.4,4.77,0,0,0,0,0,1,1,5
Zombie Cheerleader,14,2015,4.49,3.77,6.41,0.5,0.62,1.08,1.53,11.41,3.92,1,0,0,0,0,1,2,4
Tiger Woman,14,2015,6.19,5.6,10.32,0.72,1.37,1.18,2.26,10.9,4.38,1,0,0,0,0,0,1,5
Gargoyle,14,2015,3.65,3.87,5.37,0.22,0.94,0.48,0.73,10.75,4.25,0,0,0,0,0,0,0,5
Skeleton Guy,14,2015,3.82,2.7,5.64,0.59,0.81,0.63,0,10.21,3.02,0,1,0,0,0,0,2,3
Monster Rocker,14,2015,2.46,2.15,4,0.48,0.6,0.39,0.4,10.25,3.49,0,0,0,0,0,0,1,4
